id,time,temp
1,1964,4.74
2,1969,5.3
3,1972,5.22
4,1973,4.8
5,1974,4.92
6,1975,4.17
7,1976,5.86
8,1977,5.3
10,1979,4.35
12,1981,5.05
13,1982,5.21
14,1983,5.11
15,1984,5.99
16,1985,6.01
18,1987,6.1
19,1988,6.144
20,1989,5.41
21,1990,6
22,1991,5.93
23,1992,5.83
24,1993,4.73
26,1995,4.74
27,1996,5.26
29,1998,5.86
30,1999,5.62
31,2000,5.86
32,2001,5.49
33,2002,5.49
34,2003,6.92
36,2005,5.72
37,2006,5.63
38,2007,6.19
40,2010,6.13
41,2011,5.66
42,2012,6.59
44,2014,7.95
45,2015,6.16
46,2016,6.62
47,2017,6.65
49,2019,5.79
